Game Data from Excel:
================================================================================
Row 0: ('ModelOff 2016 - Round 1 - Section 3', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
Row 1700: (None, None, 1692, 846, 5, 3, 6, 4, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1701: (None, None, 1693, 847, 2, 2, 2, 5, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1702: (None, None, 1694, 847, 5, 2, 3, 1, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1703: (None, None, 1695, 848, 1, 5, 4, 4, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1704: (None, None, 1696, 848, 1, 3, 3, 3, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1705: (None, None, 1697, 849, 4, 4, 4, 2, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1706: (None, None, 1698, 849, 2, 2, 4, 1, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1707: (None, None, 1699, 850, 1, 6, 1, 6, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1708: (None, None, 1700, 850, 5, 3, 5, 1, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1709: (None, None, 1701, 851, 3, 6, 4, 2, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1710: (None, None, 1702, 851, 2, 2, 4, 5, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1711: (None, None, 1703, 852, 2, 2, 1, 3, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1712: (None, None, 1704, 852, 1, 6, 4, 5, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1713: (None, None, 1705, 853, 6, 4, 2, 1, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1714: (None, None, 1706, 853, 4, 4, 3, 5, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1715: (None, None, 1707, 854, 1, 3, 1, 4, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1716: (None, None, 1708, 854, 4, 6, 6, 2, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1717: (None, None, 1709, 855, 1, 2, 3, 6, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1718: (None, None, 1710, 855, 1, 1, 4, 5, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1719: (None, None, 1711, 856, 3, 6, 4, 6, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1720: (None, None, 1712, 856, 6, 5, 2, 2, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1721: (None, None, 1713, 857, 4, 3, 6, 1, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1722: (None, None, 1714, 857, 4, 1, 1, 6, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1723: (None, None, 1715, 858, 6, 4, 4, 5, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1724: (None, None, 1716, 858, 3, 1, 6, 4, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1725: (None, None, 1717, 859, 1, 1, 4, 3, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1726: (None, None, 1718, 859, 2, 5, 4, 1, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1727: (None, None, 1719, 860, 3, 5, 3, 4, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1728: (None, None, 1720, 860, 4, 1, 4, 1, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1729: (None, None, 1721, 861, 6, 2, 3, 4, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1730: (None, None, 1722, 861, 2, 3, 5, 6, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1731: (None, None, 1723, 862, 2, 1, 1, 3, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1732: (None, None, 1724, 862, 6, 4, 6, 5, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1733: (None, None, 1725, 863, 5, 6, 6, 3, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1734: (None, None, 1726, 863, 3, 3, 2, 6, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1735: (None, None, 1727, 864, 3, 2, 1, 2, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1736: (None, None, 1728, 864, 6, 1, 2, 2, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1737: (None, None, 1729, 865, 2, 4, 6, 2, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1738: (None, None, 1730, 865, 1, 5, 4, 3, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1739: (None, None, 1731, 866, 5, 2, 2, 2, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1740: (None, None, 1732, 866, 4, 1, 5, 4, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1741: (None, None, 1733, 867, 6, 6, 6, 3, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1742: (None, None, 1734, 867, 4, 1, 4, 6, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1743: (None, None, 1735, 868, 5, 6, 2, 1, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1744: (None, None, 1736, 868, 4, 1, 2, 4, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1745: (None, None, 1737, 869, 5, 4, 1, 3, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1746: (None, None, 1738, 869, 4, 4, 1, 4, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1747: (None, None, 1739, 870, 3, 2, 6, 3, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1748: (None, None, 1740, 870, 2, 5, 3, 1, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1749: (None, None, 1741, 871, 4, 1, 6, 4, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1750: (None, None, 1742, 871, 3, 6, 6, 2, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1751: (None, None, 1743, 872, 6, 4, 3, 4, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1752: (None, None, 1744, 872, 6, 5, 5, 4, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1753: (None, None, 1745, 873, 3, 5, 3, 2, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1754: (None, None, 1746, 873, 4, 1, 3, 2, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1755: (None, None, 1747, 874, 2, 4, 3, 3, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1756: (None, None, 1748, 874, 5, 4, 2, 4, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1757: (None, None, 1749, 875, 4, 2, 2, 1, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1758: (None, None, 1750, 875, 3, 1, 1, 6, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1759: (None, None, 1751, 876, 2, 3, 4, 5, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1760: (None, None, 1752, 876, 6, 6, 4, 1, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1761: (None, None, 1753, 877, 4, 3, 1, 4, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1762: (None, None, 1754, 877, 1, 4, 6, 1, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1763: (None, None, 1755, 878, 2, 4, 5, 4, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1764: (None, None, 1756, 878, 6, 4, 6, 5, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1765: (None, None, 1757, 879, 6, 6, 6, 1, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1766: (None, None, 1758, 879, 5, 1, 3, 1, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1767: (None, None, 1759, 880, 3, 3, 6, 2, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1768: (None, None, 1760, 880, 4, 1, 4, 4, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1769: (None, None, 1761, 881, 2, 1, 5, 6, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1770: (None, None, 1762, 881, 5, 2, 4, 1, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1771: (None, None, 1763, 882, 4, 5, 1, 1, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1772: (None, None, 1764, 882, 2, 1, 6, 2, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1773: (None, None, 1765, 883, 4, 4, 5, 4, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1774: (None, None, 1766, 883, 2, 3, 4, 6, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1775: (None, None, 1767, 884, 5, 2, 2, 6, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1776: (None, None, 1768, 884, 4, 2, 2, 6, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1777: (None, None, 1769, 885, 6, 5, 6, 6, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1778: (None, None, 1770, 885, 2, 2, 3, 6, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1779: (None, None, 1771, 886, 1, 6, 5, 1, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1780: (None, None, 1772, 886, 3, 1, 1, 4, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1781: (None, None, 1773, 887, 5, 3, 4, 5, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1782: (None, None, 1774, 887, 5, 2, 5, 4, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1783: (None, None, 1775, 888, 2, 3, 4, 2, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1784: (None, None, 1776, 888, 1, 2, 2, 3, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1785: (None, None, 1777, 889, 3, 5, 4, 1, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1786: (None, None, 1778, 889, 3, 3, 6, 4, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1787: (None, None, 1779, 890, 4, 4, 4, 4, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1788: (None, None, 1780, 890, 1, 4, 2, 6, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1789: (None, None, 1781, 891, 5, 5, 1, 1, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1790: (None, None, 1782, 891, 1, 6, 3, 5, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1791: (None, None, 1783, 892, 1, 1, 3, 6, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1792: (None, None, 1784, 892, 3, 1, 2, 2, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1793: (None, None, 1785, 893, 5, 4, 4, 1, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1794: (None, None, 1786, 893, 5, 1, 3, 5, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1795: (None, None, 1787, 894, 1, 4, 2, 2, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1796: (None, None, 1788, 894, 5, 4, 1, 1, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1797: (None, None, 1789, 895, 1, 2, 1, 4, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1798: (None, None, 1790, 895, 1, 2, 5, 6, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1799: (None, None, 1791, 896, 6, 4, 2, 6, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1800: (None, None, 1792, 896, 1, 4, 3, 3, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1801: (None, None, 1793, 897, 6, 3, 4, 5, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1802: (None, None, 1794, 897, 2, 4, 1, 6, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1803: (None, None, 1795, 898, 2, 4, 1, 2, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1804: (None, None, 1796, 898, 5, 4, 3, 2, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1805: (None, None, 1797, 899, 5, 1, 4, 6, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1806: (None, None, 1798, 899, 5, 4, 1, 6, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1807: (None, None, 1799, 900, 6, 3, 5, 5, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1808: (None, None, 1800, 900, 6, 2, 2, 2, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1809: (None, None, 1801, 901, 4, 1, 4, 4, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1810: (None, None, 1802, 901, 2, 6, 1, 6, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1811: (None, None, 1803, 902, 2, 5, 4, 3, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1812: (None, None, 1804, 902, 1, 2, 6, 1, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1813: (None, None, 1805, 903, 6, 3, 3, 3, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1814: (None, None, 1806, 903, 1, 1, 2, 3, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1815: (None, None, 1807, 904, 5, 2, 1, 4, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1816: (None, None, 1808, 904, 6, 2, 5, 3, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1817: (None, None, 1809, 905, 1, 6, 5, 1, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1818: (None, None, 1810, 905, 4, 2, 3, 3, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1819: (None, None, 1811, 906, 6, 3, 2, 2, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1820: (None, None, 1812, 906, 6, 3, 6, 3, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1821: (None, None, 1813, 907, 4, 6, 5, 6, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1822: (None, None, 1814, 907, 5, 4, 2, 5, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1823: (None, None, 1815, 908, 2, 2, 4, 2, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1824: (None, None, 1816, 908, 1, 3, 4, 2, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1825: (None, None, 1817, 909, 3, 1, 5, 4, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1826: (None, None, 1818, 909, 5, 6, 4, 3, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1827: (None, None, 1819, 910, 3, 4, 6, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1828: (None, None, 1820, 910, 3, 6, 6, 1, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1829: (None, None, 1821, 911, 4, 4, 2, 4, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1830: (None, None, 1822, 911, 3, 5, 1, 4, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1831: (None, None, 1823, 912, 3, 2, 6, 5, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1832: (None, None, 1824, 912, 4, 6, 2, 1, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1833: (None, None, 1825, 913, 6, 5, 5, 2, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1834: (None, None, 1826, 913, 6, 4, 2, 2, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1835: (None, None, 1827, 914, 1, 2, 4, 3, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1836: (None, None, 1828, 914, 2, 6, 2, 6, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1837: (None, None, 1829, 915, 5, 5, 6, 4, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1838: (None, None, 1830, 915, 3, 4, 1, 5, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1839: (None, None, 1831, 916, 6, 5, 4, 6, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1840: (None, None, 1832, 916, 2, 4, 5, 3, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1841: (None, None, 1833, 917, 5, 1, 5, 2, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1842: (None, None, 1834, 917, 6, 3, 4, 1, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1843: (None, None, 1835, 918, 2, 3, 1, 6, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1844: (None, None, 1836, 918, 4, 4, 4, 4, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1845: (None, None, 1837, 919, 3, 2, 5, 2, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1846: (None, None, 1838, 919, 1, 1, 4, 2, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
